configName,signalCount,avgFwd126,winRate126,coveredValidationWindowCount,formal2022Q4,formal2026March,diagnostic2022Q4,diagnostic2026March
seed_previous_rs_higher_low_best,39,0.3923878627147822,0.7435897435897436,4,0,0,0,0
seed_previous_rs_higher_low_best_entry82_mbo0,39,0.3923878627147822,0.7435897435897436,4,0,0,0,0
btm_dw21_dt8_r7_st9x3_m8x21x5_sma50_atr10_vol10_gap21_entry82_mbo0_rs42_wbalanced,38,0.4305996185209804,0.7631578947368421,3,0,0,0,0
btm_dw42_dt8_r10_st14x3_m8x21x5_sma50_atr10_vol10_gap21_entry82_mbo0_rs42_wbalanced,37,0.5017041519469537,0.7567567567567568,3,0,0,0,0
btm_dw63_dt8_r14_st21x5_m12x26x9_sma50_atr10_vol10_gap21_entry82_mbo0_rs42_wbalanced,18,0.48331687127224227,0.7222222222222222,1,0,0,0,0
btm_dw126_dt8_r21_st9x3_m12x26x9_sma100_atr10_vol10_gap21_entry82_mbo0_rs42_wbalanced,2,0.6643702517008269,1.0,0,0,0,0,0
btm_dw252_dt8_r7_st14x3_m16x35x9_sma100_atr14_vol10_gap21_entry82_mbo0_rs42_wbalanced,28,0.46758473101153014,0.7857142857142857,2,0,0,0,0
btm_dw21_dt12_r10_st21x5_m16x35x9_sma100_atr14_vol20_gap21_entry82_mbo0_rs42_wbalanced,43,0.3864981007578556,0.7441860465116279,4,0,0,0,0
btm_dw42_dt12_r14_st9x3_m8x21x5_sma150_atr14_vol20_gap21_entry82_mbo0_rs42_wdeep_repair,16,0.6014934849832627,0.8125,2,0,0,0,0
btm_dw63_dt12_r21_st14x3_m8x21x5_sma150_atr14_vol20_gap42_entry82_mbo0_rs42_wdeep_repair,16,0.5781137476161213,0.75,2,0,0,0,0
btm_dw126_dt12_r7_st21x5_m12x26x9_sma150_atr20_vol20_gap42_entry82_mbo0_rs42_wdeep_repair,12,0.37383905112765303,0.6666666666666666,0,0,0,0,0
btm_dw252_dt12_r10_st9x3_m12x26x9_sma200_atr20_vol20_gap42_entry82_mbo0_rs42_wdeep_repair,5,0.18030036884480521,0.6,0,0,0,0,0
btm_dw21_dt18_r14_st14x3_m16x35x9_sma200_atr20_vol50_gap42_entry82_mbo0_rs42_wdeep_repair,9,0.4050904504092009,0.7777777777777778,0,0,0,0,0
btm_dw42_dt18_r21_st21x5_m16x35x9_sma200_atr20_vol50_gap42_entry85_mbo0_rs42_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt18_r7_st9x3_m8x21x5_sma50_atr10_vol50_gap42_entry85_mbo0_rs63_wstructure_retest,16,0.41113216482413717,0.75,2,0,0,0,0
btm_dw126_dt18_r10_st14x3_m8x21x5_sma50_atr10_vol50_gap42_entry85_mbo0_rs63_wstructure_retest,18,0.5119953008474999,0.8333333333333334,2,0,0,0,0
btm_dw252_dt18_r14_st21x5_m12x26x9_sma50_atr10_vol50_gap63_entry85_mbo0_rs63_wstructure_retest,12,0.35490468573393735,0.6666666666666666,2,0,0,0,0
btm_dw21_dt25_r21_st9x3_m12x26x9_sma100_atr10_vol10_gap63_entry85_mbo0_rs63_wstructure_retest,1,1.3225090155265051,1.0,0,0,0,0,0
btm_dw42_dt25_r7_st14x3_m16x35x9_sma100_atr14_vol10_gap63_entry85_mbo0_rs63_wstructure_retest,3,-0.09311839951057055,0.3333333333333333,0,0,0,0,0
btm_dw63_dt25_r10_st21x5_m16x35x9_sma100_atr14_vol10_gap63_entry85_mbo3_rs63_wstructure_retest,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt25_r14_st9x3_m8x21x5_sma150_atr14_vol10_gap63_entry85_mbo3_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw252_dt25_r21_st14x3_m8x21x5_sma150_atr14_vol10_gap63_entry85_mbo3_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt35_r7_st21x5_m12x26x9_sma150_atr20_vol20_gap63_entry85_mbo3_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt35_r10_st9x3_m12x26x9_sma200_atr20_vol20_gap21_entry85_mbo3_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt35_r14_st14x3_m16x35x9_sma200_atr20_vol20_gap21_entry88_mbo3_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt35_r21_st21x5_m16x35x9_sma200_atr20_vol20_gap21_entry88_mbo3_rs63_wmomentum_reset,0,0.0,0.0,0,0,0,0,0
btm_dw252_dt35_r7_st9x3_m8x21x5_sma50_atr10_vol20_gap21_entry88_mbo3_rs126_wbalanced,1,-0.163813563885578,0.0,0,0,0,0,0
btm_dw21_dt8_r10_st14x3_m8x21x5_sma50_atr10_vol50_gap21_entry88_mbo3_rs126_wbalanced,2,0.968858879920899,1.0,0,0,0,0,0
btm_dw42_dt8_r14_st21x5_m12x26x9_sma50_atr10_vol50_gap21_entry88_mbo3_rs126_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt8_r21_st9x3_m12x26x9_sma100_atr10_vol50_gap21_entry88_mbo3_rs126_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt8_r7_st14x3_m16x35x9_sma100_atr14_vol50_gap42_entry88_mbo3_rs126_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw252_dt8_r10_st21x5_m16x35x9_sma100_atr14_vol50_gap42_entry88_mbo3_rs126_wbalanced,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt12_r14_st9x3_m8x21x5_sma150_atr14_vol10_gap42_entry88_mbo3_rs126_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw42_dt12_r21_st14x3_m8x21x5_sma150_atr14_vol10_gap42_entry88_mbo3_rs126_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw63_dt12_r7_st21x5_m12x26x9_sma150_atr20_vol10_gap42_entry88_mbo3_rs126_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw126_dt12_r10_st9x3_m12x26x9_sma200_atr20_vol10_gap42_entry90_mbo3_rs126_wdeep_repair,0,0.0,0.0,0,0,0,1,0
btm_dw252_dt12_r14_st14x3_m16x35x9_sma200_atr20_vol10_gap42_entry90_mbo6_rs126_wdeep_repair,0,0.0,0.0,0,0,0,0,0
btm_dw21_dt18_r21_st21x5_m16x35x9_sma200_atr20_vol20_gap63_entry90_mbo6_rs126_wdeep_repair,0,0.0,0.0,0,0,0,0,0
