strategyName,strategySource,symbol,date,channel,tier,observationType,bottomScore,riskFlags,fwd126,adverse126
baseline_formal_plus_obs_addon_v1,formal,AAPL,2008-09-29,MB,Strong,,82,"trend_damage,no_repair",-0.0013299522467166147,-0.2570777187864891
baseline_formal_plus_obs_addon_v1,observation,AAPL,2016-05-04,,,OBS-S,70,no_repair,0.19732963829962213,-0.0350351626918296
baseline_formal_plus_obs_addon_v1,formal,AAPL,2018-12-21,MB,Strong,,82,no_repair,0.3080682781441908,-0.05665760331891112
baseline_formal_plus_obs_addon_v1,observation,AAPL,2019-01-07,,,OBS-S,70,,0.37146844300111836,0.0
baseline_formal_plus_obs_addon_v1,observation,AAPL,2022-06-13,,,OBS-D,75,no_repair,0.09895897509254326,-0.013800626097334456
baseline_formal_plus_obs_addon_v1,observation,AAPL,2023-10-26,,,OBS-S,75,no_repair,0.04230474127638706,-0.008759189371535414
baseline_formal_plus_obs_addon_v1,formal,AAPL,2025-04-04,MB,Strong,,82,no_repair,0.3659535389559445,-0.08472236664388577
baseline_formal_plus_obs_addon_v1,observation,AMD,2008-07-01,,,OBS-S,75,no_repair,-0.6088495573727506,-0.6814159430205768
baseline_formal_plus_obs_addon_v1,observation,AMD,2010-08-25,,,OBS-S,75,no_repair,0.4845024814978629,-0.08482870656095243
baseline_formal_plus_obs_addon_v1,observation,AMD,2012-07-25,,,OBS-S,75,"trend_damage,no_repair",-0.2967581615253081,-0.5361596239051177
baseline_formal_plus_obs_addon_v1,observation,AMD,2012-11-07,,,OBS-S,74,"trend_damage,no_repair",0.9651741624005359,-0.07462685416409909
baseline_formal_plus_obs_addon_v1,observation,AMD,2021-03-04,,,OBS-S,75,no_repair,0.41466235194558876,-0.05993573841941313
baseline_formal_plus_obs_addon_v1,formal,AMD,2022-10-07,MB,Strong,,82,"trend_damage,no_repair",0.6090007013847207,-0.04277891955420787
baseline_formal_plus_obs_addon_v1,observation,AMD,2024-08-02,,,OBS-S,75,no_repair,-0.09811320754716979,-0.13833963646079006
baseline_formal_plus_obs_addon_v1,observation,AMZN,2018-12-24,,,OBS-D,75,no_repair,0.41211799664296644,0.0
baseline_formal_plus_obs_addon_v1,formal,AMZN,2022-05-05,MB,Strong,,82,no_repair,-0.23286396152289812,-0.23286396152289812
baseline_formal_plus_obs_addon_v1,formal,AMZN,2022-11-02,MB,Strong,,82,no_repair,0.14698220269028073,-0.11181071151390054
baseline_formal_plus_obs_addon_v1,observation,AVGO,2011-11-18,,,OBS-S,74,no_repair,0.05531268633482278,-0.07348857213833815
baseline_formal_plus_obs_addon_v1,observation,AVGO,2015-08-24,,,OBS-S,75,no_repair,0.19293642955943735,-0.01300716114703293
baseline_formal_plus_obs_addon_v1,formal,AVGO,2020-03-12,MB,Strong,,82,no_repair,0.6769858766152823,-0.2326994147811403
baseline_formal_plus_obs_addon_v1,observation,AVGO,2024-09-06,,,OBS-S,70,no_repair,0.39581156684501306,0.0
baseline_formal_plus_obs_addon_v1,formal,AVGO,2025-04-04,MB,Strong,,82,no_repair,1.3026578609670203,0.0
baseline_formal_plus_obs_addon_v1,formal,CAT,2008-10-06,MB,Strong,,82,no_repair,-0.38886208761373564,-0.5399346036648235
baseline_formal_plus_obs_addon_v1,formal,CAT,2009-01-26,MB,Strong,,82,no_repair,0.3455092343217261,-0.32139563425760787
baseline_formal_plus_obs_addon_v1,observation,CAT,2009-02-19,,,OBS-D,75,no_repair,0.7145424336424426,-0.17949658561072956
baseline_formal_plus_obs_addon_v1,formal,CAT,2020-03-12,MB,Strong,,82,"trend_damage,no_repair",0.6515121166269486,-0.004444027562537589
baseline_formal_plus_obs_addon_v1,formal,CAT,2022-05-20,RS,Strong,,71,no_repair,0.18593286562281408,-0.17313016620450994
