symbol,date,tier,qualityPassed,qualityScore,rsSignalScore,relativeStrengthScore,bottomScore,riskFlags,marketDrawdown,fwd126,adverse126
TSM,2026-03-31,Watch,True,75,74,100,53,,-8.984016,,0.000000
CAT,2026-03-31,Watch,True,74,71,100,48,,-8.984016,,0.000000
PLTR,2024-08-06,Watch,True,73,71,100,47,,-12.611346,3.185032,-0.010154
AAPL,2024-08-02,Watch,True,71,67,100,40,,-10.778204,0.061248,-0.057446
LLY,2026-02-04,Watch,True,70,65,100,37,,-4.599078,,-0.229866
META,2025-01-27,Watch,True,70,65,100,37,,-4.298052,0.062560,-0.264880
AVGO,2025-11-24,Watch,True,70,67,96,44,,-4.814642,,-0.220584
META,2024-09-06,Watch,True,70,68,95,46,,-10.790122,0.212899,0.000000
NVDA,2025-04-10,Strong,True,80,79,90,70,,-17.177253,0.702920,-0.099098
JPM,2025-04-08,Strong,True,79,78,90,68,,-22.768314,0.415502,0.000000
TSLA,2025-04-10,Strong,True,79,78,90,68,,-17.177253,0.638233,-0.098653
AAPL,2025-04-14,Watch,True,72,75,90,62,,-15.079669,0.226429,-0.046218
CRM,2026-03-30,Watch,True,72,74,90,60,,-11.964367,,-0.106239
TSLA,2025-04-24,Watch,True,70,71,90,56,,-13.247532,0.730107,0.000000
AVGO,2025-04-08,Strong,True,81,83,87,80,,-22.768314,1.223333,0.000000
