symbol,date,tier,qualityPassed,qualityScore,rsSignalScore,relativeStrengthScore,bottomScore,riskFlags,marketDrawdown,fwd126,adverse126
PLTR,2024-08-06,Watch,True,74,73,97,54,,-12.611346,3.185032,-0.010154
V,2025-03-10,Watch,True,73,73,95,55,,-12.379527,0.010799,-0.097253
META,2024-09-06,Watch,True,75,78,93,65,,-10.790122,0.212899,0.000000
CRM,2024-08-02,Watch,True,74,76,92,63,,-10.778204,0.414410,-0.022749
JPM,2025-04-08,Medium,True,78,80,90,71,,-22.768314,0.415502,0.000000
AVGO,2025-04-10,Watch,True,72,75,90,62,,-17.177253,0.891768,-0.035345
TSLA,2025-04-10,Watch,True,71,73,90,59,,-17.177253,0.638233,-0.098653
AVGO,2025-04-08,Medium,True,78,81,87,76,,-22.768314,1.223333,0.000000
CRM,2026-03-30,Watch,True,70,73,86,63,,-11.964367,,-0.106239
AAPL,2025-04-09,Watch,True,71,78,80,76,,-13.498135,0.280673,-0.042394
AMZN,2025-04-07,Watch,True,71,79,79,79,,-21.351982,0.265434,-0.045304
META,2025-04-07,Medium,True,74,81,76,85,,-21.351982,0.383264,-0.061191
LLY,2024-08-09,Watch,False,56,72,95,54,overextended_rebound,-10.448142,-0.026957,-0.183633
V,2025-03-11,Medium,False,61,80,93,70,no_repair,-12.588975,0.021489,-0.071867
CRWD,2025-04-04,Watch,False,57,79,90,70,no_repair,-21.541319,0.541989,0.000000
