symbol,selectionRank,actionTier,actionReason,qualifiedCount,candidateCount,selectionScore,avgQualityScore,bestDate,bestQualityScore,riskFlaggedCount,avgFwd126,avgAdverse126
AAPL,1,Watch,qualified watchlist candidate,3,4,87.69,71.00,2025-04-09,77,0,0.150268,-0.097025
TSLA,2,Avoid,qualified but adverse drawdown is high,3,6,84.59,69.17,2025-04-10,79,0,0.424935,-0.131639
AVGO,3,Watch,qualified but has risk flags,2,7,79.09,62.57,2025-04-08,81,1,0.775201,-0.081085
META,4,Watch,qualified but has risk flags,3,7,79.07,61.29,2025-04-07,72,1,0.310381,-0.057431
JPM,5,Watch,qualified but quality score is below priority,1,3,74.55,69.00,2025-04-08,79,0,0.375343,-0.041461
NVDA,6,Watch,qualified but quality score is below priority,1,3,71.59,66.33,2025-04-10,80,0,0.555555,-0.069045
AMZN,7,Watch,qualified watchlist candidate,1,1,67.26,72.00,2025-04-07,72,0,0.265434,-0.045304
CAT,8,Watch,qualified but has risk flags,1,4,61.11,64.50,2026-03-31,74,1,0.100250,-0.079250
PLTR,9,Avoid,qualified but has risk flags,1,3,59.46,59.00,2024-08-06,73,1,2.127624,-0.076260
TSM,10,Watch,qualified but has risk flags,1,5,56.60,62.40,2026-03-31,75,2,0.518648,-0.031593
WMT,11,Avoid,no qualified RS candidates,0,3,55.93,68.33,2024-07-31,69,0,0.308424,-0.031183
CRM,12,Avoid,qualified but has risk flags,1,5,55.65,60.80,2026-03-30,72,1,0.057904,-0.126641
