step,section,role,target,action,evidence
1,Baseline,FormalStrategy,btm_dw21_dt8_r10_st9x3_m12x26x9_sma200_atr20_vol10_gap21_entry78_mbo0_rs63_wmomentum_reset,Freeze formal MB baseline,fullPool=True; symbols=21; signals=124; avgFwd126=31.61%
2,RecentValidation,FormalStrategy,CRWD 2024-07-30,Review mature recent formal signal,status=Pass; fwd126=0.698566; adverse126=-0.067451; channel=MB; risk=none
2,RecentValidation,FormalStrategy,AMD 2024-08-01,Review mature recent formal signal,status=Pass; fwd126=-0.137845; adverse126=-0.138600; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,WMT 2024-08-07,Review mature recent formal signal,status=Pass; fwd126=0.519400; adverse126=0.000000; channel=RS; risk=none
2,RecentValidation,FormalStrategy,TSLA 2025-03-06,Review mature recent formal signal,status=Pass; fwd126=0.331714; adverse126=-0.157867; channel=MB; risk=none
2,RecentValidation,FormalStrategy,V 2025-03-11,Review mature recent formal signal,status=Pass; fwd126=0.021489; adverse126=-0.071867; channel=RS; risk=no_repair
2,RecentValidation,FormalStrategy,AVGO 2025-04-03,Review mature recent formal signal,status=Pass; fwd126=1.206010; adverse126=-0.050127; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,CAT 2025-04-03,Review mature recent formal signal,status=Pass; fwd126=0.642071; adverse126=-0.104069; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,AAPL 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.365954; adverse126=-0.084722; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,AMD 2025-04-04,Review mature recent formal signal,"status=Pass; fwd126=1.375350; adverse126=-0.088036; channel=MB; risk=trend_damage,no_repair"
2,RecentValidation,FormalStrategy,AMZN 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.291813; adverse126=-0.021520; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,CRM 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.025859; adverse126=-0.034757; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,LLY 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.149594; adverse126=-0.150740; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,META 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.419955; adverse126=-0.039764; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,NVDA 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.967589; adverse126=0.000000; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,QQQ 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.441072; adverse126=-0.015639; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,SPY 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.336809; adverse126=-0.017416; channel=MB; risk=no_repair
