step,section,role,target,action,evidence
1,Baseline,FormalStrategy,seed_previous_rs_higher_low_best,Freeze formal MB baseline,fullPool=True; symbols=21; signals=39; avgFwd126=39.24%
2,RecentValidation,FormalStrategy,AAPL 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.365954; adverse126=-0.084722; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,AVGO 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=1.302658; adverse126=0.000000; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,CAT 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.734201; adverse126=-0.049084; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,META 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.419955; adverse126=-0.039764; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,NVDA 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.967589; adverse126=0.000000; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,QQQ 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=0.441072; adverse126=-0.015639; channel=MB; risk=no_repair
2,RecentValidation,FormalStrategy,TSM 2025-04-04,Review mature recent formal signal,status=Pass; fwd126=1.074000; adverse126=-0.036989; channel=MB; risk=no_repair
3,ObservationRisk,Observation,risk=low_volume,Keep observation-only bucket,count=1; avgFwd126=52.15%; winRate126=100.00%; avgAdverse126=-3.75%
3,ObservationRisk,Observation,risk=no_repair,Keep observation-only bucket,count=45; avgFwd126=19.38%; winRate126=72.73%; avgAdverse126=-10.98%
3,ObservationRisk,Observation,risk=none,Keep observation-only bucket,count=3; avgFwd126=14.86%; winRate126=66.67%; avgAdverse126=-10.51%
3,ObservationRisk,Observation,risk=trend_damage,Keep observation-only bucket,count=3; avgFwd126=48.59%; winRate126=66.67%; avgAdverse126=-21.47%
4,RSWatchlist,Observation,AVGO,Monitor,selectionScore=92.40; qualifiedCount=2; reason=repeated qualified candidates with clean risk profile
4,RSWatchlist,Observation,META,Monitor,selectionScore=92.11; qualifiedCount=2; reason=repeated qualified candidates with clean risk profile
4,RSWatchlist,Observation,CRM,Review,selectionScore=79.71; qualifiedCount=2; reason=qualified but has risk flags
4,RSWatchlist,Observation,PLTR,Review,selectionScore=73.24; qualifiedCount=1; reason=qualified but quality score is below priority
4,RSWatchlist,Observation,AMZN,Review,selectionScore=66.77; qualifiedCount=1; reason=qualified watchlist candidate
4,RSWatchlist,Observation,TSLA,Review,selectionScore=62.33; qualifiedCount=1; reason=qualified watchlist candidate
4,RSWatchlist,Observation,AAPL,Review,selectionScore=59.07; qualifiedCount=1; reason=qualified but has risk flags
4,RSWatchlist,Observation,V,Review,selectionScore=57.94; qualifiedCount=1; reason=qualified but has risk flags
4,RSWatchlist,Observation,JPM,Review,selectionScore=56.34; qualifiedCount=1; reason=qualified but has risk flags
4,RSWatchlist,Observation,CAT,Skip,selectionScore=50.93; qualifiedCount=0; reason=no qualified RS candidates
4,RSWatchlist,Observation,NVDA,Skip,selectionScore=49.46; qualifiedCount=0; reason=no qualified RS candidates
4,RSWatchlist,Observation,CRWD,Skip,selectionScore=38.20; qualifiedCount=0; reason=no qualified RS candidates
5,MissedCase,Observation,AMD 2008-07-01 OBS-S,Record formal-missed OBS candidate,risk=no_repair; duplicateFormalCount=0; fwd126=-0.608850; adverse126=-0.681416; bottom=75; RS=42
