symbol,date,observationType,bottomScore,rsSignalScore,marketDrawdown,nearLowGap,riskFlags,fwd126,adverse126
AAPL,2016-05-04,OBS-S,70,42,-8.229085,0.005874,no_repair,0.197330,-0.035035
AAPL,2019-01-07,OBS-S,70,39,-14.947202,0.040369,,0.371468,0.000000
AAPL,2022-06-13,OBS-D,75,42,-31.656929,0.000000,no_repair,0.098959,-0.013801
AAPL,2023-10-26,OBS-S,75,42,-10.779932,0.000000,no_repair,0.042305,-0.008759
AMD,2008-07-01,OBS-S,75,42,-10.535507,0.000000,no_repair,-0.608850,-0.681416
AMD,2010-08-25,OBS-S,75,42,-12.614714,0.023372,no_repair,0.484502,-0.084829
AMD,2012-07-25,OBS-S,75,42,-8.155695,0.000000,"trend_damage,no_repair",-0.296758,-0.536160
AMD,2012-11-07,OBS-S,74,42,-8.589475,0.000000,"trend_damage,no_repair",0.965174,-0.074627
AMD,2021-03-04,OBS-S,75,42,-9.615100,0.000000,no_repair,0.414662,-0.059936
AMD,2024-08-02,OBS-S,75,42,-10.778204,0.000000,no_repair,-0.098113,-0.138340
AMZN,2018-12-24,OBS-D,75,42,-22.796675,0.000000,no_repair,0.412118,0.000000
AVGO,2011-11-18,OBS-S,74,52,-9.418517,0.023586,no_repair,0.055313,-0.073489
AVGO,2015-08-24,OBS-S,75,42,-13.616395,0.000000,no_repair,0.192936,-0.013007
AVGO,2024-09-06,OBS-S,70,48,-10.790122,0.005357,no_repair,0.395812,0.000000
CAT,2009-02-19,OBS-D,75,42,-39.247790,0.000000,no_repair,0.714542,-0.179497
CAT,2022-07-14,OBS-D,73,42,-25.758044,0.000000,"low_volume,no_repair",0.521508,-0.037476
JPM,2011-09-21,OBS-S,75,42,-13.644621,0.000000,no_repair,0.495296,-0.056367
JPM,2018-10-11,OBS-S,75,49,-9.015097,0.000000,no_repair,0.032839,-0.147878
JPM,2022-01-18,OBS-S,75,42,-8.161478,0.000000,no_repair,-0.230451,-0.274391
LLY,2008-09-17,OBS-D,75,48,-20.399483,0.000000,no_repair,-0.255226,-0.357243
LLY,2018-02-09,OBS-S,74,42,-8.751486,0.027220,no_repair,0.360636,-0.011985
LLY,2020-10-30,OBS-S,75,42,-11.025229,0.000000,no_repair,0.456055,0.000000
MSFT,2010-05-07,OBS-S,75,42,-10.114817,0.022436,no_repair,-0.028434,-0.180651
MSFT,2020-03-12,OBS-D,75,44,-26.668418,0.000000,no_repair,0.484538,-0.026176
MSFT,2023-01-05,OBS-D,73,47,-21.132111,0.040544,no_repair,0.499655,0.000000
NVDA,2011-06-15,OBS-S,75,42,-8.324888,0.000000,no_repair,-0.157424,-0.300536
QQQ,2011-03-16,OBS-S,75,43,-8.033290,0.001798,no_repair,0.026083,-0.072707
QQQ,2014-10-16,OBS-S,74,42,-8.248506,0.000000,no_repair,0.179314,0.000000
QQQ,2018-03-23,OBS-S,75,53,-9.594707,0.034650,no_repair,0.161462,-0.018926
QQQ,2022-04-26,OBS-D,75,42,-21.301634,0.000000,no_repair,-0.100498,-0.174779
QQQ,2022-10-03,OBS-D,68,38,-25.657117,0.023460,,0.171093,-0.047673
QQQ,2022-10-11,OBS-D,69,40,-23.855031,0.000000,no_repair,0.219522,-0.008601
QQQ,2022-12-28,OBS-D,68,42,-21.578332,0.000893,no_repair,0.424450,0.000000
QQQ,2026-03-27,OBS-S,71,40,-11.286299,0.000000,no_repair,,-0.007643
SPY,2008-10-16,OBS-D,75,46,-36.094446,0.059548,,-0.096627,-0.267752
TSLA,2011-08-05,OBS-S,75,42,-11.547824,0.000000,no_repair,0.311881,-0.094472
TSLA,2016-06-24,OBS-S,75,42,-8.243237,0.000000,no_repair,0.079213,-0.060575
TSLA,2019-05-31,OBS-S,75,42,-8.979126,0.000000,"trend_damage,no_repair",0.789209,-0.033431
TSM,2012-05-31,OBS-S,75,42,-9.069592,0.000000,no_repair,0.303133,-0.051711
TSM,2016-01-07,OBS-S,75,43,-8.657278,0.000000,no_repair,0.314373,-0.029384
TSM,2022-03-14,OBS-D,73,42,-21.143516,0.000101,no_repair,-0.198316,-0.231377
UNH,2025-04-17,OBS-S,75,46,-17.563350,0.000000,no_repair,-0.204164,-0.472687
WMT,2009-01-08,OBS-D,75,51,-36.113098,0.038902,no_repair,-0.063910,-0.096535
WMT,2009-04-24,OBS-S,71,45,-12.370558,0.037054,no_repair,0.066025,-0.000909
XOM,2010-01-29,OBS-S,75,42,-8.156260,0.000000,no_repair,-0.061349,-0.110263
XOM,2010-06-29,OBS-S,75,42,-14.041701,0.000000,no_repair,0.298847,-0.012568
XOM,2020-09-11,OBS-S,75,42,-10.671810,0.000000,no_repair,0.704534,-0.144444
XOM,2025-04-07,OBS-D,75,58,-21.351982,0.000000,no_repair,0.130614,-0.029240
