symbol,selectionRank,actionTier,actionReason,qualifiedCount,candidateCount,selectionScore,avgQualityScore,bestDate,bestQualityScore,riskFlaggedCount,avgFwd126,avgAdverse126
AVGO,1,Priority,repeated qualified candidates with clean risk profile,2,2,92.40,75.00,2025-04-08,78,0,1.057550,-0.017673
META,2,Priority,repeated qualified candidates with clean risk profile,2,3,92.11,70.33,2024-09-06,75,0,0.334828,-0.037238
CRM,3,Watch,qualified but has risk flags,2,3,79.71,62.67,2024-08-02,74,1,0.200461,-0.059127
PLTR,4,Watch,qualified but quality score is below priority,1,2,73.24,69.50,2024-08-06,74,0,2.262673,-0.008417
AMZN,5,Watch,qualified watchlist candidate,1,1,66.77,71.00,2025-04-07,71,0,0.265434,-0.045304
TSLA,6,Watch,qualified watchlist candidate,1,1,62.33,71.00,2025-04-10,71,0,0.638233,-0.098653
AAPL,7,Watch,qualified but has risk flags,1,3,59.07,64.67,2025-04-09,71,1,0.142255,-0.098062
V,8,Watch,qualified but has risk flags,1,2,57.94,67.00,2025-03-10,73,1,0.016144,-0.084560
JPM,9,Watch,qualified but has risk flags,1,3,56.34,60.00,2025-04-08,78,2,0.382275,-0.032043
CAT,10,Avoid,no qualified RS candidates,0,1,50.93,67.00,2024-08-06,67,0,0.127642,-0.001961
NVDA,11,Avoid,no qualified RS candidates,0,1,49.46,66.00,2025-04-07,66,0,0.895364,-0.013724
CRWD,12,Avoid,no qualified RS candidates,0,1,38.20,57.00,2025-04-04,57,1,0.541989,0.000000
